Name,Version,Proj Download URL,Pjoject URL,PkgVer Download Link,License,Description
kfileaudiopreview,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kfileaudiopreview-5.58.0.tar.xz,LGPLv2.1+,Preview of audio files
kfilemetadata,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kfilemetadata-5.58.0.tar.xz,LGPLv2.1+,A file metadata and text extraction library
kglobalaccel,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kglobalaccel-5.58.0.tar.xz,LGPLv2.1+,Add support for global workspace shortcuts
kguiaddons,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kguiaddons-5.58.0.tar.xz,LGPLv2.1+,Addons to QtGui
kholidays,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kholidays-5.58.0.tar.xz,LGPLv2.1+,Holiday calculation library
khtml,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/khtml-5.58.0.tar.xz,LGPLv2.1+,KHTML APIs
ki18n,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/ki18n-5.58.0.tar.xz,LGPLv2.1+,Advanced internationalization framework
kiconthemes,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kiconthemes-5.58.0.tar.xz,LGPLv2.1+,Support for icon themes
kidletime,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kidletime-5.58.0.tar.xz,LGPLv2.1+,Monitoring user activity
kimageformats,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kimageformats-5.58.0.tar.xz,LGPLv2.1+,Image format plugins for Qt
kinit,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kinit-5.58.0.tar.xz,LGPLv2.1+,Process launcher to speed up launching KDE applications
kio,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kio-5.58.0.tar.xz,LGPLv2.1+,Resource and network access abstraction
kirigami,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kirigami-5.58.0.tar.xz,LGPLv2.1+,QtQuick plugins to build user interfaces based on the KDE human interface guidelines
kitemmodels,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kitemmodels-5.58.0.tar.xz,LGPLv2.1+,Models for Qt Model/View system
kitemviews,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kitemviews-5.58.0.tar.xz,LGPLv2.1+,Widget addons for Qt Model/View
kjobwidgets,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kjobwidgets-5.58.0.tar.xz,LGPLv2.1+,Widgets for tracking KJob instances
kjs,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kjs-5.58.0.tar.xz,LGPLv2.1+,Support for JS scripting in applications
kjsembed,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kjsembed-5.58.0.tar.xz,LGPLv2.1+,Embedded JS
kmediaplayer,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kmediaplayer-5.58.0.tar.xz,LGPLv2.1+,Plugin interface for media player features
knewstuff,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/knewstuff-5.58.0.tar.xz,LGPLv2.1+,Support for downloading application assets from the network
knotifications,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/knotifications-5.58.0.tar.xz,LGPLv2.1+,Abstraction for system notifications
knotifyconfig,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/knotifyconfig-5.58.0.tar.xz,LGPLv2.1+,Configuration system for KNotify
kpackage,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kpackage-5.58.0.tar.xz,LGPLv2.1+,Library to load and install packages of non binary files as they were a plugin
kparts,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kparts-5.58.0.tar.xz,LGPLv2.1+,Document centric plugin system
kpeople,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kpeople-5.58.0.tar.xz,LGPLv2.1+,Provides access to all contacts and the people who hold them
kplotting,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kplotting-5.58.0.tar.xz,LGPLv2.1+,Lightweight plotting framework
kprintutils,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kprintutils-5.58.0.tar.xz,LGPLv2.1+,Print dialogs
kpty,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kpty-5.58.0.tar.xz,LGPLv2.1+,Pty abstraction
kross,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kross-5.58.0.tar.xz,LGPLv2.1+,Multi-language application scripting
krunner,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/krunner-5.58.0.tar.xz,LGPLv2.1+,Parallelized query system
kservice,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kservice-5.58.0.tar.xz,LGPLv2.1+,Advanced plugin and service introspection
ktexteditor,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/ktexteditor-5.58.0.tar.xz,LGPLv2.1+,Advanced embeddable text editor
ktextwidgets,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/ktextwidgets-5.58.0.tar.xz,LGPLv2.1+,Advanced text editing widgets
kunitconversion,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kunitconversion-5.58.0.tar.xz,LGPLv2.1+,Support for unit conversion
kwallet,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kwallet-5.58.0.tar.xz,LGPLv2.1+,Secure and unified container for user passwords
kwidgetsaddons,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kwidgetsaddons-5.58.0.tar.xz,LGPLv2.1+,Addons to QtWidgets
kwindowsystem,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kwindowsystem-5.58.0.tar.xz,LGPLv2.1+,Access to the windowing system
kxmlgui,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kxmlgui-5.58.0.tar.xz,LGPLv2.1+,User configurable main windows
kxmlrpcclient,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/kxmlrpcclient-5.58.0.tar.xz,LGPLv2.1+,Interaction with XMLRPC services
modemmanager-qt,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/modemmanager-qt-5.58.0.tar.xz,LGPLv2.1+,Qt wrapper for ModemManager API
networkmanager-qt,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/networkmanager-qt-5.58.0.tar.xz,LGPLv2.1+,Qt wrapper for NetworkManager API
oxygen-icons5,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/oxygen-icons5-5.58.0.tar.xz,LGPLv2.1+,Oxygen icon theme
plasma-framework,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/plasma-framework-5.58.0.tar.xz,LGPLv2.1+,Plugin based UI runtime used to write primary user interfaces
prison,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/prison-5.58.0.tar.xz,LGPLv2.1+,Barcode abstraction layer providing uniform access to generation of barcodes
purpose,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/purpose-5.58.0.tar.xz,LGPLv2.1+,Offers available actions for a specific purpose
qqc2-desktop-style,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/qqc2-desktop-style-5.58.0.tar.xz,LGPLv2.1+,QtQuickControls 2 style that integrates with the desktop
solid,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/solid-5.58.0.tar.xz,LGPLv2.1+,Hardware integration and detection
sonnet,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/sonnet-5.58.0.tar.xz,LGPLv2.1+,Support for spellchecking
syndication,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/syndication-5.58.0.tar.xz,LGPLv2.1+,An RSS/Atom parser library
syntax-highlighting,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/syntax-highlighting-5.58.0.tar.xz,LGPLv2.1+,Syntax Highlighting
threadweaver,5.58.0,https://download.kde.org/stable/frameworks/,https://api.kde.org/frameworks/,http://download.kde.org/stable/frameworks/5.58/threadweaver-5.58.0.tar.xz,LGPLv2.1+,High-level multithreading framework
