Name,Version,Download URL,Package URL,License,Description
kfilemetadata,5.50.0,http://download.kde.org/stable/frameworks/5.50/kfilemetadata-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kfilemetadata/repository,LGPLv2.1+,A file metadata and text extraction library
kglobalaccel,5.50.0,http://download.kde.org/stable/frameworks/5.50/kglobalaccel-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kglobalaccel/repository,LGPLv2.1+,Add support for global workspace shortcuts
kguiaddons,5.50.0,http://download.kde.org/stable/frameworks/5.50/kguiaddons-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kguiaddons/repository,LGPLv2.1+,Addons to QtGui
kholidays,5.50.0,http://download.kde.org/stable/frameworks/5.50/kholidays-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kholidays/repository,LGPLv2.1+,Holiday calculation library
khtml,5.50.0,http://download.kde.org/stable/frameworks/5.50/khtml-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/khtml/repository,LGPLv2.1+,KHTML APIs
ki18n,5.50.0,http://download.kde.org/stable/frameworks/5.50/ki18n-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/ki18n/repository,LGPLv2.1+,Advanced internationalization framework
kiconthemes,5.50.0,http://download.kde.org/stable/frameworks/5.50/kiconthemes-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kiconthemes/repository,LGPLv2.1+,Support for icon themes
kidletime,5.50.0,http://download.kde.org/stable/frameworks/5.50/kidletime-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kidletime/repository,LGPLv2.1+,Monitoring user activity
kimageformats,5.50.0,http://download.kde.org/stable/frameworks/5.50/kimageformats-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kimageformats/repository,LGPLv2.1+,Image format plugins for Qt
kinit,5.50.0,http://download.kde.org/stable/frameworks/5.50/kinit-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kinit/repository,LGPLv2.1+,Process launcher to speed up launching KDE applications
kio,5.50.0,http://download.kde.org/stable/frameworks/5.50/kio-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kio/repository,LGPLv2.1+,Resource and network access abstraction
kirigami,5.50.0,http://download.kde.org/stable/frameworks/5.50/kirigami-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kirigami/repository,LGPLv2.1+,QtQuick plugins to build user interfaces based on the KDE UX guidelines
kitemmodels,5.50.0,http://download.kde.org/stable/frameworks/5.50/kitemmodels-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kitemmodels/repository,LGPLv2.1+,Models for Qt Model/View system
kitemviews,5.50.0,http://download.kde.org/stable/frameworks/5.50/kitemviews-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kitemviews/repository,LGPLv2.1+,Widget addons for Qt Model/View
kjobwidgets,5.50.0,http://download.kde.org/stable/frameworks/5.50/kjobwidgets-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kjobwidgets/repository,LGPLv2.1+,Widgets for tracking KJob instances
kjs,5.50.0,http://download.kde.org/stable/frameworks/5.50/kjs-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kjs/repository,LGPLv2.1+,Support for JS scripting in applications
kjsembed,5.50.0,http://download.kde.org/stable/frameworks/5.50/kjsembed-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kjsembed/repository,LGPLv2.1+,Embedded JS
kmediaplayer,5.50.0,http://download.kde.org/stable/frameworks/5.50/kmediaplayer-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kmediaplayer/repository,LGPLv2.1+,Plugin interface for media player features
knewstuff,5.50.0,http://download.kde.org/stable/frameworks/5.50/knewstuff-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/knewstuff/repository,LGPLv2.1+,Support for downloading application assets from the network
knotifications,5.50.0,http://download.kde.org/stable/frameworks/5.50/knotifications-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/knotifications/repository,LGPLv2.1+,Abstraction for system notifications
knotifyconfig,5.50.0,http://download.kde.org/stable/frameworks/5.50/knotifyconfig-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/knotifyconfig/repository,LGPLv2.1+,Configuration system for KNotify
kpackage,5.50.0,http://download.kde.org/stable/frameworks/5.50/kpackage-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kpackage/repository,LGPLv2.1+,Library to load and install packages of non binary files as they were a plugin
kparts,5.50.0,http://download.kde.org/stable/frameworks/5.50/kparts-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kparts/repository,LGPLv2.1+,Document centric plugin system
kpeople,5.50.0,http://download.kde.org/stable/frameworks/5.50/kpeople-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kpeople/repository,LGPLv2.1+,Provides access to all contacts and the people who hold them
kplotting,5.50.0,http://download.kde.org/stable/frameworks/5.50/kplotting-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kplotting/repository,LGPLv2.1+,Lightweight plotting framework
kprintutils,5.50.0,http://download.kde.org/stable/frameworks/5.50/kprintutils-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kprintutils/repository,LGPLv2.1+,Print dialogs
kpty,5.50.0,http://download.kde.org/stable/frameworks/5.50/kpty-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kpty/repository,LGPLv2.1+,Pty abstraction
kross,5.50.0,http://download.kde.org/stable/frameworks/5.50/kross-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kross/repository,LGPLv2.1+,Multi-language application scripting
krunner,5.50.0,http://download.kde.org/stable/frameworks/5.50/krunner-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/krunner/repository,LGPLv2.1+,Parallelized query system
kservice,5.50.0,http://download.kde.org/stable/frameworks/5.50/kservice-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kservice/repository,LGPLv2.1+,Advanced plugin and service introspection
ktexteditor,5.50.0,http://download.kde.org/stable/frameworks/5.50/ktexteditor-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/ktexteditor/repository,LGPLv2.1+,Advanced embeddable text editor
ktextwidgets,5.50.0,http://download.kde.org/stable/frameworks/5.50/ktextwidgets-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/ktextwidgets/repository,LGPLv2.1+,Advanced text editing widgets
kunitconversion,5.50.0,http://download.kde.org/stable/frameworks/5.50/kunitconversion-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kunitconversion/repository,LGPLv2.1+,Support for unit conversion
kwallet,5.50.0,http://download.kde.org/stable/frameworks/5.50/kwallet-5.50.0.tar.xz,https://projects.kde.org/projects/frameworks/kwallet/repository,LGPLv2.1+,Secure and unified container for user passwords
